hub_name,mean,lower,upper,rider_no
LAD - Bao Loc - SOU - SUB 2,462.29268292682923,432.28897726955705,492.29638858410175,6.166666666666667
LAD - Da Teh - SOU - SUB 2,183.5714285714286,174.3653715115861,192.77748563127105,5.333333333333333
LAD - Di Linh - SOU - SUB 2,179.3852459016393,172.67639038371627,186.09410141956243,3.347826086956522
LAD - Don Duong - SOU - SUB 2,163.59999999999997,130.877715951045,196.32228404895505,4.933333333333334
LAD - Duc Trong - SOU - SUB 2,361.9404761904762,342.9112626075175,380.9696897734348,5.222222222222222
LAD - Lam Dong - SOU,960.0833333333334,931.2494640433607,988.9172026233061,14.222222222222221
LAD - Lam Ha - SOU - SUB 2,155.54901960784312,136.13526390219224,174.9627753134941,4.0
LAS - Cao Loc - NOR - SUB 2,259.135922330097,226.74629462092975,291.5255500392644,5.761904761904762
LAS - Huu Lung - NOR - SUB 2,132.7777777777778,123.9255732422369,141.6299823133186,3.0
LAS - Lang Son - NOR,786.2248062015501,736.7045024358887,835.7451099672119,11.8
LAS - Trang Dinh - NOR - SUB 2,98.49425287356324,90.60732743212715,106.38117831499915,2.0588235294117645
LAS - Van Lang - NOR - SUB 2,321.22522522522524,293.5371403421023,348.9133101083482,3.0
LCA - Bao Thang - NOR - SUB 2,146.3793103448276,140.2690888871613,152.48953180249387,3.6666666666666665
LCA - Lao Cai - NOR,661.1386138613861,644.5620319500578,677.7151957727145,8.166666666666666
NAD - Hai Hau - NOR - SUB 2,903.7826086956521,860.5581594931211,947.0070578981829,11.379310344827585
NAD - Nghia Hung - NOR - SUB 2,577.6999999999999,552.242806675641,603.1571933243594,8.461538461538462
NAD - Vu Ban - NOR - SUB 2,512.5652173913041,482.13906672572614,542.9913680568824,7.24
NGA - Dien Chau - NOR - SUB 2,220.7473684210526,191.62186176378563,249.87287507831962,4.2
NGA - Hoang Mai - NOR - SUB 2,404.3176470588236,386.8396962944026,421.7955978232443,6.7272727272727275
NGA - Nghe An - NOR,1245.7619047619048,1190.3507451879511,1301.1730643358585,15.88888888888889
NGA - Nghi Loc - NOR - SUB 2,139.82608695652175,116.48508422086049,163.167089692183,5.076923076923077
NGA - Thai Hoa - NOR - SUB 2,147.59459459459458,134.0223744413879,161.16681474780123,3.642857142857143
NGA - Thanh Chuong - NOR - SUB 2,119.05555555555556,111.31309272038291,126.79801839072817,3.0
NGA - Yen Thanh - NOR - SUB 2,418.34328358208955,367.20655327745567,469.4800138867238,6.08
NIB - Gia Vien - NOR - SUB 2,341.9078947368421,330.474420287706,353.3413691859782,5.4
NIB - Kim Son - NOR - SUB 2,346.89814814814804,326.2833918451296,367.51290445116683,6.619047619047619
NIB - Ninh Binh - NOR,683.8043478260875,629.1101989942673,738.4984966579067,10.076923076923077
NIT - Ninh Phuoc - SOU - SUB 2,117.52542372881359,91.63944713004625,143.41140032758088,3.75
NIT - Phan Rang - SOU,446.6890756302521,397.9922827923235,495.38586846818055,8.68
PHY - Dong Hoa - SOU - SUB 2,182.4098360655738,166.24657439403413,198.57309773711347,4.0
PHY - Song Cau - SOU - SUB 2,145.51639344262293,133.5440331880173,157.4887536972286,3.2777777777777777
PHY - Song Hinh - SOU - SUB 2,114.04615384615384,104.93415279392184,123.15815489838586,3.125
PHY - Tuy An - SOU - SUB 2,157.94488188976374,145.7664732338583,170.12329054566925,3.176470588235294
