cal_date,hub_name,dest_hub_id,dest_hub_region,shipper_group,first_deli_ontime_rate,deli_succcess_ontime_day1_rate,deli_succcess_ontime_day2_rate,lm_orders
2021-08-14,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee Vietnam,0.98359161349134,0.9216043755697356,0.9795348837209302,1097
2021-08-14,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Tiki,0.9772727272727273,0.9147727272727273,0.9647058823529412,176
2021-08-14,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Tiki Marketplace,1.0,0.9478260869565217,0.9646017699115044,115
2021-08-14,HCM - Binh Thanh 1 - SOU - DP,112,HCM,XB,0.9696969696969697,0.9090909090909091,1.0,33
2021-08-14,HCM - District 10 - SOU - DP,116,HCM,DS,0.7421875,0.671875,0.9291338582677166,128
2021-08-14,HCM - District 10 - SOU - DP,116,HCM,EN,0.625,0.625,0.875,8
2021-08-14,HCM - District 10 - SOU - DP,116,HCM,ES,0.5652173913043478,0.4782608695652174,0.7391304347826086,23
2021-08-14,HCM - District 10 - SOU - DP,116,HCM,Lazada Master Account (ASC),0.8432835820895522,0.7276119402985075,0.8798449612403101,268
2021-08-14,HCM - District 10 - SOU - DP,116,HCM,Others,0.8,0.8,0.8888888888888888,10
2021-08-14,HCM - District 10 - SOU - DP,116,HCM,Partnerships,0.0,0.0,1.0,1
2021-08-14,HCM - District 10 - SOU - DP,116,HCM,Shopee Vietnam,0.6666666666666666,0.6666666666666666,1.0,6
2021-08-14,HCM - District 10 - SOU - DP,116,HCM,Tiki,0.8214285714285714,0.6785714285714286,0.9259259259259259,28
2021-08-14,HCM - District 10 - SOU - DP,116,HCM,Tiki Marketplace,0.7333333333333333,0.6666666666666666,0.9329268292682927,165
2021-08-14,HCM - District 10 - SOU - DP,116,HCM,XB,0.5555555555555556,0.5555555555555556,0.9111111111111111,45
2021-08-14,HCM - Go Vap A - SOU - DP,130,HCM,DS,1.0,0.9117647058823529,0.9696969696969697,34
2021-08-14,HCM - Go Vap A - SOU - DP,130,HCM,EN,1.0,1.0,1.0,4
2021-08-14,HCM - Go Vap A - SOU - DP,130,HCM,ES,1.0,0.8888888888888888,1.0,9
2021-08-14,HCM - Go Vap A - SOU - DP,130,HCM,Lazada Master Account (ASC),0.9946808510638298,0.9202127659574468,0.9834254143646409,188
2021-08-14,HCM - Go Vap A - SOU - DP,130,HCM,Others,1.0,1.0,1.0,4
2021-08-14,HCM - Go Vap A - SOU - DP,130,HCM,Shopee Vietnam,0.9949596774193549,0.9435483870967742,0.9857868020304569,992
