cal_date,shipper_group,hub_name,avg_pending_time_dest_hub,avg_delivery_attempts,total_orders,rts_orders,rts_rate
7/9/2021,Shopee,HCM - Go Vap A - SOU - DP,65.025,1.066745562,4225,80,0.018934911
6/18/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,108.9935065,1.102994012,4175,154,0.036886228
4/8/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,48.76923077,1.226953787,4133,91,0.022017905
6/18/2021,Shopee,HCM - Go Vap A - SOU - DP,57.23636364,1.072713828,4057,55,0.013556815
5/7/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,72.82022472,1.187436932,3964,89,0.022452069
4/7/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,46.58441558,1.204434133,3879,77,0.019850477
6/19/2021,Shopee,HCM - Go Vap A - SOU - DP,68.1375,1.102517042,3814,80,0.020975354
5/7/2021,Shopee,HCM - Phu Nhuan - SOU - DP,57.29230769,1.137575918,3787,65,0.017163982
4/6/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,52.81538462,1.178031308,3769,65,0.017245954
5/7/2021,Shopee,HCM - Go Vap A - SOU - DP,56.09589041,1.156894244,3735,73,0.019544846
4/8/2021,Shopee,HCM - Go Vap A - SOU - DP,49.97058824,1.155748845,3679,68,0.018483284
6/10/2021,Shopee,HCM - Go Vap A - SOU - DP,46.53623188,1.057739896,3637,69,0.01897168
4/19/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,78.28431373,1.269124931,3634,102,0.028068244
7/8/2021,Shopee,HCM - Go Vap A - SOU - DP,51.81034483,1.071349862,3630,58,0.015977961
6/18/2021,Shopee,HCM - District 10 - SOU - DP,76.06666667,1.195904815,3614,90,0.024903154
4/8/2021,Shopee,HCM - Phu Nhuan - SOU - DP,54.36065574,1.219567051,3557,61,0.017149283
5/7/2021,Shopee,HCM - District 10 - SOU - DP,70.61643836,1.21388102,3530,73,0.020679887
6/11/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,72.96938776,1.198295455,3520,98,0.027840909
6/11/2021,Shopee,HCM - Go Vap A - SOU - DP,54.12,1.113050944,3494,75,0.021465369
5/10/2021,Shopee,HCM - Go Vap A - SOU - DP,46.35,1.175695042,3489,120,0.034393809
1/29/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,84.25,1.38572251,3474,120,0.034542314
6/11/2021,Shopee,HCM - Phu Nhuan - SOU - DP,57.9245283,1.215951627,3473,53,0.015260582
6/18/2021,Shopee,HCM - Phu Nhuan - SOU - DP,60.58974359,1.088837612,3467,39,0.011248918
3/5/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,67.01123596,1.24391657,3452,89,0.025782155
4/8/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,52.22222222,1.214181924,3441,81,0.023539669
5/7/2021,Shopee,HCM - District 7 - SOU - DP,65.51260504,1.266356499,3439,119,0.034603082
6/10/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,64.06060606,1.132964795,3437,66,0.019202793
5/8/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,71.94495413,1.414340288,3403,109,0.032030561
6/17/2021,Shopee,HCM - Phu Nhuan - SOU - DP,61.9,1.105495151,3403,50,0.014692918
6/11/2021,Shopee,HCM - District 7 - SOU - DP,87.64,1.384819064,3399,175,0.051485731
5/8/2021,Shopee,HCM - Go Vap A - SOU - DP,53.10465116,1.230540701,3366,86,0.025549614
4/7/2021,Shopee,HCM - Go Vap A - SOU - DP,52.90384615,1.128869048,3360,52,0.01547619
6/16/2021,Shopee,HCM - Go Vap A - SOU - DP,53.67924528,1.068770467,3359,53,0.015778506
4/8/2021,Shopee,HCM - District 10 - SOU - DP,58.60273973,1.224153431,3337,73,0.021875936
4/5/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,49.58730159,1.169816982,3333,63,0.01890189
4/22/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,53.23300971,1.217009685,3304,103,0.031174334
4/7/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,54.52380952,1.164695177,3297,63,0.01910828
5/8/2021,Shopee,HCM - District 10 - SOU - DP,68.20833333,1.400668287,3292,96,0.029161604
3/6/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,65.78350515,1.477743902,3280,97,0.029573171
4/22/2021,Shopee,HCM - Go Vap A - SOU - DP,47.475,1.13357731,3279,80,0.024397682
1/25/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,47.02439024,1.229533519,3237,82,0.025332098
5/10/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,56.17857143,1.215698393,3236,84,0.025957973
6/17/2021,Shopee,HCM - District 7 - SOU - DP,90.51937984,1.122790698,3225,129,0.04
1/30/2021,Shopee,HCM - Tan Binh 1 - SOU - DP,66.38596491,1.319886543,3173,57,0.017964072
