cal_date,hub_id,rider_no,parcel_no
2021-02-27,1126,2,107
2021-02-06,1087,1,45
2021-02-24,1078,1,37
2021-06-01,1026,1,47
2021-06-04,125,31,2633
2021-06-04,1230,23,1861
2021-06-04,289,10,342
2021-06-04,1070,17,594
2021-06-05,666,7,377
2021-06-06,1230,17,4044
2021-06-07,108,14,3089
2021-06-10,433,6,427
2021-06-10,441,5,316
2021-06-11,381,12,449
2021-06-11,614,6,159
2021-06-11,441,5,316
2021-06-12,42,17,761
2021-06-12,1274,5,280
2021-06-13,277,6,300
2021-06-13,1070,6,175
2021-06-14,1022,3,101
2021-06-14,610,4,190
2021-06-16,1074,3,95
2021-06-18,1261,10,657
2021-06-19,125,39,3667
2021-06-19,103266,4,87
2021-06-19,385,7,554
2021-06-20,108,2,284
2021-06-21,216,43,12521
2021-06-21,125,35,4606
2021-06-22,666,8,359
2021-06-22,381,7,594
2021-06-22,125,39,3341
2021-06-22,112,33,3171
2021-06-23,666,9,399
2021-06-23,289,6,185
2021-06-23,125,40,3139
2021-06-28,666,14,574
2021-06-28,216,40,7835
2021-06-28,281,14,1284
2021-06-28,177,7,173
2021-06-29,281,14,942
2021-06-30,437,18,895
2021-06-30,277,14,861
2021-06-30,662,5,193
2021-06-03,1230,23,2213
2021-06-04,1178,10,352
2021-06-05,177,7,328
2021-06-05,333,3,132
2021-06-06,693,4,198
2021-06-08,1070,17,1029
2021-06-10,329,5,257
2021-06-12,1022,4,113
2021-06-18,658,3,148
2021-06-20,662,1,0
2021-06-21,433,5,406
2021-06-22,1222,9,596
2021-06-22,606,7,275
2021-06-23,606,6,208
2021-06-24,1222,9,526
2021-06-25,801,1,2245
2021-06-25,337,3,161
2021-06-02,1195,5,254
2021-06-02,108,14,1413
2021-06-07,658,3,327
2021-06-09,693,6,650
2021-06-10,558,11,1561
2021-06-11,285,10,670
2021-06-13,614,1,8
2021-06-14,1261,7,424
2021-06-16,610,3,135
2021-06-19,42,15,633
2021-06-21,1026,1,40
2021-06-23,1274,5,252
2021-06-24,801,1,4949
2021-06-24,103266,4,185
2021-06-03,1018,5,142
2021-06-08,1274,5,324
2021-06-12,1213,5,350
2021-06-13,333,1,0
2021-06-18,1130,1,19
2021-06-21,329,1,0
2021-06-10,333,3,295
2021-06-22,441,5,375
2021-06-08,1078,1,18
2021-06-09,554,6,431
2021-06-21,1174,1,115
2021-06-21,333,3,161
2021-06-22,1087,1,14
2021-06-28,1170,2,49
2021-06-09,1022,4,134
2021-06-12,1078,1,15
2021-06-27,329,1,0
2021-06-30,693,4,487
2021-06-04,329,1,0
2021-06-09,1170,2,91
2021-06-12,103197,1,32
2021-06-06,606,1,203
2021-06-23,1026,1,30
2020-12-21,12,17,1492
2020-12-01,289,5,209
2020-12-01,658,3,103
2020-12-02,1178,9,287
2020-12-02,1222,7,346
2020-12-02,333,4,125
2020-12-03,285,7,334
2020-12-03,614,4,44
2020-12-03,1230,29,1818
2020-12-03,1070,13,776
2020-12-03,554,6,152
2020-12-04,42,13,858
2020-12-04,216,37,6690
2020-12-04,558,8,673
2020-12-04,1213,4,192
2020-12-04,762,3,696
2020-12-05,337,3,152
2020-12-06,441,4,206
2020-12-07,216,38,9130
2020-12-07,614,5,69
2020-12-08,108,22,1565
2020-12-09,554,6,157
2020-12-10,277,13,600
2020-12-10,1005,9,348
2020-12-11,1222,7,516
2020-12-11,281,14,907
2020-12-13,112,57,5704
2020-12-13,285,7,385
2020-12-13,1074,3,51
2020-12-14,614,5,61
2020-12-14,1074,3,106
2020-12-15,108,26,3041
2020-12-16,662,9,624
2020-12-16,1126,3,156
2020-12-16,329,6,275
2020-12-17,177,14,386
2020-12-17,108,33,2594
2020-12-18,337,3,184
2020-12-19,1009,10,797
2020-12-19,1070,16,994
2020-12-20,42,10,322
2020-12-20,108,29,1217
2020-12-21,389,3,198
2020-12-23,558,9,967
2020-12-23,693,4,155
2020-12-23,606,6,325
2020-12-25,1009,12,723
2020-12-25,554,5,164
2020-12-26,281,17,915
2020-12-27,437,2,33
2020-12-27,216,30,2995
2020-12-27,1230,24,795
2020-12-27,42,3,132
2020-12-28,1222,7,614
2020-12-28,554,6,302
2020-12-28,329,5,237
2020-12-29,177,11,303
2020-12-31,558,8,814
2020-12-31,277,15,584
2020-12-03,693,4,167
2020-12-05,610,2,77
2020-12-07,381,4,136
2020-12-07,666,8,299
2020-12-09,662,9,468
2020-12-09,693,5,146
2020-12-15,389,3,144
2020-12-16,1230,34,5596
2020-12-16,337,4,255
2020-12-16,554,6,281
2020-12-18,662,10,478
2020-12-19,333,5,114
2020-12-21,337,4,276
2020-12-24,662,10,483
2020-12-25,1174,1,268
2020-12-03,1170,2,22
2020-12-03,329,5,112
2020-12-12,289,5,209
2020-12-12,389,2,62
2020-12-12,333,4,95
2020-12-12,1126,2,67
2020-12-14,337,4,252
2020-12-17,1213,5,438
2020-12-21,1074,3,138
2020-12-22,433,3,138
2020-12-24,329,5,201
2020-12-26,666,7,315
2020-12-10,1174,1,411
2020-12-26,1195,4,198
2020-12-04,177,9,161
2020-12-10,1001,1,2
2020-12-17,1126,3,147
2020-12-01,389,2,65
2020-12-26,1001,1,9
2020-12-27,610,1,0
2020-12-08,1130,1,8
2020-12-09,1174,1,721
2020-12-17,1087,1,19
2020-12-27,433,1,1
2020-12-07,1026,1,23
2020-12-15,1130,1,27
2020-12-14,1087,1,34
2020-12-14,1026,1,47
2020-12-20,1178,1,5
2021-07-02,277,13,486
2021-07-03,1222,9,465
2021-07-03,658,3,134
2021-07-05,1070,22,1199
2021-07-07,285,9,399
2021-07-07,1022,3,64
2021-07-09,554,7,398
2021-07-10,385,9,650
2021-07-11,554,4,130
2021-07-11,1009,11,1066
2021-07-11,1178,5,175
2021-07-12,554,8,423
2021-07-13,1087,1,17
2021-07-14,277,17,804
2021-07-14,1261,9,453
2021-07-16,1009,10,1090
2021-07-16,662,4,145
2021-07-17,12,6,2056
2021-07-18,125,27,820
2021-07-19,1261,7,554
2021-07-19,1230,24,2630
2021-07-19,385,8,541
2021-07-19,1074,6,146
2021-07-20,281,11,713
2021-07-22,1213,5,324
2021-07-22,610,3,149
2021-07-23,112,31,2334
2021-07-23,1074,4,73
2021-07-24,554,6,162
2021-07-24,381,11,311
2021-07-27,42,19,652
2021-07-28,103266,3,97
2021-07-28,1230,4,327
2021-07-29,216,4,1778
2021-07-31,381,8,1161
2021-07-31,385,7,352
2021-07-03,1261,7,175
2021-07-06,554,7,292
2021-07-08,289,11,208
2021-07-10,554,8,409
2021-07-11,693,4,166
2021-07-14,1178,12,341
2021-07-14,441,5,250
2021-07-20,1261,7,287
2021-07-21,1022,3,99
2021-07-23,329,5,192
2021-07-24,558,11,917
2021-07-24,281,10,410
2021-07-25,1274,1,0
2021-07-26,441,5,332
2021-07-28,1018,4,41
2021-07-01,103266,4,160
2021-07-05,385,7,546
2021-07-09,177,6,265
2021-07-17,329,5,280
2021-07-22,1178,9,416
2021-07-23,285,9,367
2021-07-23,762,5,787
2021-07-06,610,3,107
2021-07-10,1170,2,32
2021-07-14,610,3,78
2021-07-14,606,6,205
2021-07-20,1078,1,26
2021-07-25,108,2,276
2021-07-26,337,3,234
2021-07-26,1230,3,30
2021-07-02,1130,1,10
2021-07-05,333,3,141
2021-07-05,1174,1,147
2021-07-16,1261,7,352
2021-07-16,103266,4,80
2021-07-21,1078,1,0
2021-07-21,1195,5,79
2021-07-23,658,3,148
2021-07-25,385,1,0
2021-07-28,1126,1,45
2021-07-06,333,3,121
2021-07-07,1026,1,20
2021-07-13,1022,4,132
2021-07-21,1074,4,38
2021-07-23,389,3,70
