,hub_region,hub_sector,hub_id,hub_name,sl_rate,observation_num,mean,lower,upper,range,rider_no
129,North,DBSH,1009,BN - Tu Son - NOR - SUB 2,0.93,92,900.0,900.0,900.0,77.06353329194144,12.0
130,North,DBSH,1010,HP - An Duong - NOR - SUB 2,0.93,94,600.0,600.0,600.0,51.798975426282595,10.0
131,North,DBSH,1012,HP - Le Chan - NOR - SUB 2,0.93,116,1000.0,1000.0,1100.0,91.76729455403483,12.0
132,North,DBSH,1013,HP - Thuy Nguyen - NOR - SUB 2,0.93,83,700.0,700.0,700.0,59.6421589136329,8.0
133,North,DBSH,1088,HD - Cam Giang - NOR - SUB 2,0.93,76,500.0,400.0,500.0,96.15039062964021,8.0
134,North,DBSH,1127,HD - Ninh Giang - NOR - SUB 2,0.93,98,300.0,200.0,300.0,47.9210127221064,5.0
135,North,DBSH,1137,HP - Kien Thuy - NOR - SUB 2,0.93,80,1000.0,900.0,1100.0,132.94101258035482,12.0
136,North,DBSH,1138,HAN - Ly Nhan - NOR - SUB 2,0.93,54,300.0,200.0,300.0,62.882877894733575,5.0
137,North,DBSH,1139,HY - My Hao - NOR - SUB 2,0.93,72,1200.0,1200.0,1300.0,121.92337290974912,12.0
138,North,DBSH,1158,THB - Tien Hai - NOR - SUB 2,0.93,88,500.0,500.0,600.0,81.7959577054851,6.0
139,North,DBSH,1216,HD - Gia Loc - NOR - SUB 2,0.93,79,500.0,500.0,600.0,54.8531052306653,6.0
140,North,DBSH,1221,NAD - Vu Ban - NOR - SUB 2,0.93,105,500.0,500.0,500.0,64.57337935018816,7.0
141,North,DBSH,1222,NAD - Nghia Hung - NOR - SUB 2,0.93,80,600.0,600.0,600.0,52.88714859624565,8.0
142,North,DBSH,1223,VIP - Phuc Yen - NOR - SUB 2,0.93,110,300.0,300.0,300.0,28.209402517759827,5.0
143,North,DBSH,1251,QUN - Ba Che - NOR - SUB 2,0.93,10,0.0,0.0,0.0,15.05138407352371,1.0
144,North,NMM,104,BAG - Bac Giang - NOR,0.93,88,1200.0,1100.0,1200.0,85.82494425818504,17.0
145,North,NMM,108,THN - Thai Nguyen - NOR,0.93,81,1400.0,1300.0,1500.0,222.5898619578403,21.0
146,North,NMM,151,PTH - Phu Tho - NOR,0.93,91,900.0,900.0,900.0,68.01933225510038,11.0
147,North,NMM,163,HOB - Hoa Binh - NOR,0.93,96,400.0,400.0,400.0,35.797259901608356,6.0
148,North,NMM,175,SOL - Son La - NOR,0.93,114,300.0,300.0,300.0,25.294425857498535,7.0
149,North,NMM,177,DIB - Dien Bien - NOR,0.93,79,300.0,300.0,300.0,30.325714576379482,9.0
150,North,NMM,218,LAC - Lai Chau - NOR,0.93,100,100.0,100.0,200.0,14.536017602145705,4.0
151,North,NMM,220,TUQ - Tuyen Quang - NOR,0.93,105,400.0,400.0,400.0,64.28263383824202,6.0
152,North,NMM,230,LAS - Lang Son - NOR,0.93,124,800.0,700.0,800.0,99.3367898697763,11.0
153,North,NMM,232,HAG - Ha Giang - NOR,0.93,99,200.0,200.0,200.0,15.404670586460782,4.0
154,North,NMM,247,YEB - Yen Bai - NOR,0.93,104,300.0,300.0,300.0,25.64084029192884,4.0
155,North,NMM,249,LCA - Lao Cai - NOR,0.93,96,700.0,600.0,700.0,32.37493647194901,9.0
156,North,NMM,269,BAK - Bac Kan - NOR,0.93,123,200.0,200.0,300.0,41.37492508260786,4.0
157,North,NMM,271,CAB - Cao Bang - NOR,0.93,116,400.0,300.0,400.0,52.06477438334732,6.0
158,North,NMM,329,BAG - Luc Ngan - NOR - SUB 2,0.93,84,200.0,200.0,200.0,20.031608348928046,5.0
159,North,NMM,341,PTH - Thanh Ba - NOR - SUB 2,0.93,90,400.0,400.0,400.0,34.2648086968356,8.0
160,North,NMM,345,THN - Pho Yen - NOR - SUB 2,0.93,38,600.0,500.0,600.0,91.26687895363843,8.0
161,North,NMM,347,THN - Phu Luong - NOR - SUB 2,0.93,108,300.0,300.0,300.0,48.838659370625535,5.0
162,North,NMM,357,PTH - Thanh Son - NOR - SUB 2,0.93,101,400.0,400.0,400.0,31.364757663815226,8.0
163,North,NMM,359,DIB - Tuan Giao - NOR - SUB 2,0.93,21,100.0,0.0,100.0,27.460233466954648,3.0
164,North,NMM,361,BAG - Hiep Hoa - NOR - SUB 2,0.93,55,600.0,600.0,600.0,69.73351677888098,10.0
165,North,NMM,365,DIB - Muong Cha - NOR - SUB 2,0.93,72,0.0,0.0,0.0,9.000182237749627,2.0
166,North,NMM,413,BAG - Son Dong - NOR - SUB 2,0.93,112,100.0,100.0,100.0,12.063522365283102,2.0
167,North,NMM,421,HOB - Lac Thuy - NOR - SUB 2,0.93,90,200.0,200.0,300.0,23.018926387401457,5.0
168,North,NMM,423,SOL - Moc Chau - NOR - SUB 2,0.93,89,200.0,200.0,200.0,13.29264568891449,7.0
169,North,NMM,425,LCA - Bao Thang - NOR - SUB 2,0.93,76,100.0,100.0,200.0,13.179760387077522,4.0
170,North,NMM,435,HOB - Tan Lac - NOR - SUB 2,0.93,25,100.0,100.0,200.0,23.889959167589723,4.0
171,North,NMM,467,LAS - Binh Gia - NOR - SUB 2,0.93,66,100.0,0.0,100.0,13.300137975901006,2.0
172,North,NMM,470,LAS - Van Lang - NOR - SUB 2,0.93,107,300.0,300.0,400.0,57.13663226117425,3.0
173,North,NMM,473,LAC - Than Uyen - NOR - SUB 2,0.93,53,0.0,0.0,0.0,9.160316986578945,1.0
174,North,NMM,476,LAC - Tan Uyen - NOR - SUB 2,0.93,45,0.0,0.0,0.0,5.629432512479424,1.0
175,North,NMM,479,HAG - Bac Me - NOR - SUB 2,0.93,74,0.0,0.0,0.0,4.191733315901573,2.0
176,North,NMM,482,HAG - Bac Quang - NOR - SUB 2,0.93,90,100.0,100.0,100.0,16.92498542668045,4.0
177,North,NMM,485,HAG - Quan Ba - NOR - SUB 2,0.93,18,0.0,0.0,0.0,14.936880708885385,2.0
178,North,NMM,488,DIB - Muong Nhe - NOR - SUB 2,0.93,22,0.0,0.0,0.0,6.782350422083539,4.0
179,North,NMM,495,THN - Dong Hy - NOR - SUB 2,0.93,5,0.0,-0.0,100.0,114.06476036605719,4.0
