Address City,Address Country,Area,Consol Hub,Country,Creation Datetime,Facility Type,Hub Sector,ID,Is Deleted,Is Delivery Hub,Last Mile Cutoff,Latitude,Longitude,Name,Parent Hub ID,Province Code,Region,Short Name,System ID,Sort Hub Flag,Virtual Hub Flag,Parent Hub Name,Sla Region,Created Month
Ho Chi Minh,VN,metro,,vn,2021-08-19T13:35:19Z,STATION,HCM,103391,0,,12:00,10.852716,106.760276,HCM - Thu Duc 2 - SOU - DP,,HCM,HCM,Hồ Chí Minh,vn,0,0,,HCM,2021-08
Hồ Chí Minh,VN,,,vn,2020-10-21T17:06:33Z,STATION,HCM,1227,0,,12:00,1.0,1.0,HCM - RT - SOU - DP,,HCM,HCM,Hồ Chí Minh,vn,0,0,,HCM,2020-10
Quảng Ninh,VN,metro,,vn,2017-09-20T15:58:25Z,STATION,DBSH,140,0,1,12:00,20.967115,107.097234,QUN - Ha Long - NOR,,QUN,North,Quảng Ninh,vn,0,0,,North,2017-09
Thanh Hóa,VN,metro,,vn,2017-09-20T17:23:05Z,STATION,BTB,141,0,1,12:00,19.789131,105.782544,THH - Thanh Hoa - NOR,,THH,North,Thanh Hóa,vn,0,0,,North,2017-09
Ninh Bình,VN,metro,,vn,2017-09-20T17:26:02Z,STATION,DBSH,143,0,1,12:00,20.250461,105.974142,NIB - Ninh Binh - NOR,,NIB,North,Ninh Bình,vn,0,0,,North,2017-09
Hồ Chí Minh,VN,metro,,vn,2017-09-16T14:49:54Z,STATION,HCM,125,0,1,12:00,10.790358,106.778505,HCM - District 2 - SOU - DP,,HCM,HCM,Hồ Chí Minh,vn,0,0,,HCM,2017-09
Hồ Chí Minh,VN,sub2,,vn,2017-09-21T17:46:51Z,STATION,HCM,147,0,1,12:00,10.708194,106.729746,HCM - District 7 - SOU - DP,,HCM,HCM,Hồ Chí Minh,vn,0,0,,HCM,2017-09
Hồ Chí Minh,VN,sub1,,vn,2017-09-29T14:33:18Z,STATION,HCM,155,0,1,12:00,10.869566,106.645878,HCM - District 12 A - SOU - DP,,HCM,HCM,Hồ Chí Minh,vn,0,0,,HCM,2017-09
Hồ Chí Minh,VN,metro,,vn,2017-09-16T14:51:32Z,STATION,HCM,130,0,1,12:00,10.841142,106.645845,HCM - Go Vap A - SOU - DP,,HCM,HCM,Hồ Chí Minh,vn,0,0,,HCM,2017-09
Vinh Phuc,VN,metro,,vn,2017-09-25T15:22:20Z,STATION,DBSH,149,0,1,12:00,21.299053,105.718463,VIP - Vinh Phuc - NOR,,VIP,North,Vĩnh Phúc,vn,0,0,,North,2017-09
