cal_date,hub_name,dest_hub_id,dest_hub_region,shipper_group,parcels_attempt_ontime,parcels_attempt_late,attempt_day1_OTP,parcels_success_day1_ontime,parcels_success_day1_late,succcess_day1_OTP,parcels_success_day2_ontime,parcels_success_day2_late,succcess_day2_OTP,parcels_success_day3_ontime,parcels_success_day3_late,succcess_day3_OTP,volume_of_ontime_KPI,parcels_rts,rts_rate,volume_of_rts_KPI
7/13/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,174,0,1,162,12,0.931034483,165,9,0.948275862,166,8,0.954022989,174,9,0.051724138,174
7/13/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,1097,38,0.966519824,1064,71,0.937444934,1121,14,0.987665198,1125,10,0.991189427,1135,10,0.008810573,1135
7/12/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,367,1,0.997282609,308,60,0.836956522,331,37,0.899456522,333,35,0.904891304,368,27,0.074585635,362
7/12/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,1307,28,0.979026217,1191,144,0.892134831,1273,62,0.953558052,1282,53,0.960299625,1335,36,0.026966292,1335
7/11/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,170,0,1,163,7,0.958823529,165,5,0.970588235,166,4,0.976470588,170,3,0.017647059,170
7/11/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,987,3,0.996969697,963,27,0.972727273,973,17,0.982828283,977,13,0.986868687,990,14,0.014141414,990
7/10/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,259,2,0.992337165,241,20,0.923371648,248,13,0.950191571,249,12,0.954022989,261,9,0.034615385,260
7/10/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,1388,42,0.970629371,1314,116,0.918881119,1401,29,0.97972028,1409,21,0.985314685,1430,19,0.013286713,1430
7/9/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,255,0,1,214,41,0.839215686,228,27,0.894117647,236,19,0.925490196,255,17,0.067193676,253
7/9/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,2410,25,0.98973306,2101,334,0.862833676,2314,121,0.950308008,2377,58,0.976180698,2435,61,0.025051335,2435
7/8/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,263,0,1,215,48,0.817490494,222,41,0.844106464,230,33,0.874524715,263,18,0.073469388,245
7/8/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,2152,12,0.994454713,1919,245,0.886783734,2104,60,0.972273567,2127,37,0.982902033,2164,28,0.012939002,2164
7/7/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,233,1,0.995726496,206,28,0.88034188,207,27,0.884615385,213,21,0.91025641,234,15,0.067567568,222
7/7/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,1182,12,0.989949749,1125,69,0.942211055,1164,30,0.974874372,1176,18,0.984924623,1194,15,0.012562814,1194
7/6/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,233,1,0.995726496,220,14,0.94017094,222,12,0.948717949,222,12,0.948717949,234,7,0.030837004,227
7/6/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,1272,12,0.990654206,1226,58,0.95482866,1261,23,0.982087227,1264,20,0.984423676,1284,16,0.012461059,1284
7/5/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,340,1,0.997067449,308,33,0.903225806,316,25,0.926686217,319,22,0.935483871,341,14,0.041791045,335
7/5/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,1356,13,0.990504018,1254,115,0.915997078,1339,30,0.978086194,1352,17,0.987582177,1369,23,0.016800584,1369
7/4/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,21,0,1,18,3,0.857142857,18,3,0.857142857,20,1,0.952380952,21,1,0.047619048,21
7/4/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,18,2,0.9,16,4,0.8,19,1,0.95,19,1,0.95,20,0,0,20
7/3/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,300,2,0.993377483,268,34,0.887417219,281,21,0.930463576,283,19,0.937086093,302,17,0.056666667,300
7/3/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,662,2,0.996987952,604,60,0.909638554,652,12,0.981927711,654,10,0.984939759,664,6,0.009036145,664
7/2/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Non-Shopee,281,0,1,256,25,0.911032028,267,14,0.950177936,270,11,0.960854093,281,9,0.032258065,279
7/2/2021,HCM - Binh Thanh 1 - SOU - DP,112,HCM,Shopee,426,5,0.988399072,406,25,0.94199536,420,11,0.974477958,426,5,0.988399072,431,6,0.013921114,431
