hub_id,hub_name,hub_region,province_code,hub_sector,area,created_month
1152,VIL - Binh Minh - SOU - SUB 2,South,VIL,MT,Non-Metro,2020-03
1159,DN - Phu Thanh - SOU - SUB 2,South,DN,DNB,Non-Metro,2020-03
1148,QUA - Tay Giang - SOU - SUB 2,South,QUA,MTTN,Non-Metro,2020-03
1154,KHH - Cam Lam - SOU - SUB 2,South,KHH,MTTN,Non-Metro,2020-03
1146,BID - Van Canh - SOU - SUB 2,South,BID,MTTN,Non-Metro,2020-03
1147,KHH - Khanh Vinh - SOU - SUB 2,South,KHH,MTTN,Non-Metro,2020-03
1155,PHY - Song Cau - SOU - SUB 2,South,PHY,MTTN,Non-Metro,2020-03
1156,VT - Chau Duc - SOU - SUB 2,South,VT,DNB,Non-Metro,2020-03
1158,THB - Tien Hai - NOR - SUB 2,North,THB,DBSH,Non-Metro,2020-03
1218,SOT - Ke Sach - SOU - SUB 2,South,SOT,MT,Non-Metro,2020-09
1222,NAD - Nghia Hung - NOR - SUB 2,North,NAD,DBSH,Non-Metro,2020-09
1224,PTH - Tam Nong - NOR - SUB 2,North,PTH,NMM,Non-Metro,2020-09
1216,HD - Gia Loc - NOR - SUB 2,North,HD,DBSH,Non-Metro,2020-09
1223,VIP - Phuc Yen - NOR - SUB 2,North,VIP,DBSH,Non-Metro,2020-09
1219,BIP - Chon Thanh - SOU - SUB 2,South,BIP,DNB,Non-Metro,2020-09
1221,NAD - Vu Ban - NOR - SUB 2,North,NAD,DBSH,Non-Metro,2020-09
74,HCM - Cu Chi - SOU - DP,HCM,HCM,HCM,Metro,2017-05
103391,HCM - Thu Duc 2 - SOU - DP,HCM,HCM,HCM,Metro,2021-08
103390,HCM - Binh Thanh 3 - SOU - DP,HCM,HCM,HCM,Metro,2021-08
744,DAN - Dak Glong - SOU - SUB 2,South,DAN,MTTN,Non-Metro,2018-08
750,ANG - Phu Tan - SOU - SUB 2,South,ANG,MT,Non-Metro,2018-08
771,CAM - Dam Doi - SOU - SUB 2,South,CAM,MT,Non-Metro,2018-08
753,SOT - Tran De - SOU - SUB 2,South,SOT,MT,Non-Metro,2018-08
747,TG - Tan Phuoc - SOU - SUB 2,South,TG,MT,Non-Metro,2018-08
759,DN - Trang Bom - SOU - SUB 2,South,DN,DNB,Non-Metro,2018-08
756,TAN - Tan Chau - SOU - SUB 2,South,TAN,DNB,Non-Metro,2018-08
1244,THH - Quang Xuong - NOR - SUB 2,North,THH,BTB,Non-Metro,2021-01
1243,QUN - Bai Chay - NOR - SUB 2,North,QUN,DBSH,Non-Metro,2021-01
1252,BAG - Viet Yen - NOR - SUB 2,North,BAG,NMM,Non-Metro,2021-01
1246,Freght 3PL - interzone,HCM,Fre,Others,Metro,2021-01
1250,KHH - Dien Khanh - SOU - SUB 2,South,KHH,MTTN,Non-Metro,2021-01
1249,KHH - Nam Nha Trang - SOU - DP,South,KHH,MTTN,Non-Metro,2021-01
1251,QUN - Ba Che - NOR - SUB 2,North,QUN,DBSH,Non-Metro,2021-01
1248,NGA - Dien Chau - NOR - SUB 2,North,NGA,BTB,Non-Metro,2021-01
1242,VIP - Yen Lac - NOR - SUB 2,North,VIP,DBSH,Non-Metro,2021-01
1276,BIP - Bu Dop - SOU - SUB 2,South,BIP,DNB,Non-Metro,2021-04
1277,BIP - Phu Rieng - SOU - SUB 2,South,BIP,DNB,Non-Metro,2021-04
1275,TAN - Trang Bang - SOU - SUB 2,South,TAN,DNB,Non-Metro,2021-04
847,HN - Ba Dinh - NOR - DP,HN,HN,HN,Metro,2018-12
859,HN - Hoai Duc - NOR - SUB 2 - DP,HN,HN,HN,Metro,2018-12
851,HN - Hai Ba Trung 1 - NOR - DP,HN,HN,HN,Metro,2018-12
863,HN - Cau Giay 1 - NOR - DP,HN,HN,HN,Metro,2018-12
843,HN - Soc Son - NOR - SUB 2 - DP,HN,HN,HN,Metro,2018-12
855,HN - Thanh Xuan 1 - NOR - DP,HN,HN,HN,Metro,2018-12
867,LAS - Cao Loc - NOR - SUB 2,North,LAS,NMM,Non-Metro,2018-12
871,LAS - Loc Binh - NOR - SUB 2,North,LAS,NMM,Non-Metro,2018-12
103186,VT - Thang Nhi - SOU - SUB 2,South,VT,DNB,Non-Metro,2021-05
103199,Test hub,South,Tes,Others,Non-Metro,2021-05
103223,CT - Binh Thuy - SOU - SUB 2,South,CT,MT,Non-Metro,2021-05
103196,CT - Co Do - SOU - SUB 2,South,CT,MT,Non-Metro,2021-05
103224,BD - Thu Dau Mot - SOU,South,BD,DNB,Non-Metro,2021-05
103202,BAG - Holding - Covid,North,BAG,NMM,Non-Metro,2021-05
103195,THH - Quang Xuong - NOR - SUB 2 (Sai),North,THH,BTB,Non-Metro,2021-05
103212,PTH - Test,North,PTH,NMM,Non-Metro,2021-05
103209,KIG - Hon Thom - SOU - SUB 2,South,KIG,MT,Non-Metro,2021-05
1170,HOB - Da Bac - NOR - SUB 2,North,HOB,NMM,Non-Metro,2020-05
1179,DN - Long Binh Tan - SOU - SUB 2,South,DN,DNB,Non-Metro,2020-05
1184,LA - Vinh Hung - SOU - SUB 2,South,LA,DNB,Non-Metro,2020-05
1177,DN - Thong Nhat - SOU - SUB 2,South,DN,DNB,Non-Metro,2020-05
1178,DN - Nhon Trach - SOU - SUB 2,South,DN,DNB,Non-Metro,2020-05
1186,HCM Fleet Liable,HCM,HCM,HCM,Metro,2020-05
1172,KIG - An Thoi - SOU - SUB 2,South,KIG,MT,Non-Metro,2020-05
1171,KHH - Binh Ba - SOU - SUB 2,South,KHH,MTTN,Non-Metro,2020-05
1180,DN - Xuan Loc - SOU - SUB 2,South,DN,DNB,Non-Metro,2020-05
